258,San Pedro Airport,San Pedro,Cote d'Ivoire,SPY,4.74672,-6.66082
259,Yamoussoukro Airport,Yamoussoukro,Cote d'Ivoire,ASK,6.90317,-5.36558
260,Nnamdi Azikiwe International Airport,Abuja,Nigeria,ABV,9.00679,7.26317
261,Akure Airport,Akure,Nigeria,AKR,7.24674,5.30101
262,Benin Airport,Benin,Nigeria,BNI,6.31698,5.5995
263,Margaret Ekpo International Airport,Calabar,Nigeria,CBQ,4.97602,8.3472
264,Akanu Ibiam International Airport,Enugu,Nigeria,ENU,6.47427,7.56196
266,Ibadan Airport,Ibadan,Nigeria,IBA,7.36246,3.97833
267,Ilorin International Airport,Ilorin,Nigeria,ILR,8.44021,4.49392
268,Yakubu Gowon Airport,Jos,Nigeria,JOS,9.63983,8.86905
269,Kaduna Airport,Kaduna,Nigeria,KAD,10.696,7.32011
270,Mallam Aminu International Airport,Kano,Nigeria,KAN,12.0476,8.52462
271,Maiduguri International Airport,Maiduguri,Nigeria,MIU,11.8553,13.0809
272,Makurdi Airport,Makurdi,Nigeria,MDI,7.70388,8.61394
273,Murtala Muhammed International Airport,Lagos,Nigeria,LOS,6.57737,3.32116
274,Minna Airport,Minna,Nigeria,MXJ,9.65217,6.46226
275,Port Harcourt International Airport,Port Hartcourt,Nigeria,PHC,5.01549,6.94959
276,Sadiq Abubakar III International Airport,Sokoto,Nigeria,SKO,12.9163,5.20719
277,Yola Airport,Yola,Nigeria,YOL,9.25755,12.4304
278,Zaria Airport,Zaria,Nigeria,ZAR,11.1302,7.68581
279,Maradi Airport,Maradi,Niger,MFQ,13.5025,7.12675
280,Diori Hamani International Airport,Niamey,Niger,NIM,13.4815,2.18361
281,Tahoua Airport,Tahoua,Niger,THZ,14.8757,5.26536
282,Mano Dayak International Airport,Agadez,Niger,AJY,16.966,8.00011
285,Zinder Airport,Zinder,Niger,ZND,13.779,8.98376
286,Monastir Habib Bourguiba International Airport,Monastir,Tunisia,MIR,35.758099,10.7547
287,Tunis Carthage International Airport,Tunis,Tunisia,TUN,36.851002,10.2272
290,Gafsa Ksar International Airport,Gafsa,Tunisia,GAF,34.422001,8.8225
291,Gabès Matmata International Airport,Gabes,Tunisia,GAE,33.8769,10.1033
293,Djerba Zarzis International Airport,Djerba,Tunisia,DJE,33.875,10.7755
294,El Borma Airport,El Borma,Tunisia,EBM,31.7043,9.25462
295,Sfax Thyna International Airport,Sfax,Tunisia,SFA,34.717999,10.691
296,Tozeur Nefta International Airport,Tozeur,Tunisia,TOE,33.939701,8.11056
297,Niamtougou International Airport,Niatougou,Togo,LRL,9.76733,1.09125
298,Lomé-Tokoin Airport,Lome,Togo,LFW,6.16561,1.25451
299,Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,51.1894,4.46028
302,Brussels Airport,Brussels,Belgium,BRU,50.901402,4.48444
304,Brussels South Charleroi Airport,Charleroi,Belgium,CRL,50.459202,4.45382
308,Wevelgem Airport,Kortrijk-vevelgem,Belgium,KJK,50.8172,3.20472
309,Liège Airport,Liege,Belgium,LGG,50.637402,5.44322
310,Ostend-Bruges International Airport,Ostend,Belgium,OST,51.198898,2.86222
316,Zoersel (Oostmalle) Airfield,Zoersel,Belgium,OBL,51.264702,4.75333
318,Altenburg-Nobitz Airport,Altenburg,Germany,AOC,50.981945,12.506389
325,Riesa-Göhlis Airport,Riesa,Germany,IES,51.29361,13.356111
326,Rechlin-Lärz Airport,Rechlin-laerz,Germany,REB,53.306389,12.752222
328,Schönhagen Airport,Schoenhagen,Germany,QXH,52.203609,13.156389
329,Barth Airport,Barth,Germany,BBH,54.338253,12.710515
332,Magdeburg ""City"" Airport,Magdeburg,Germany,ZMG,52.073612,11.626389
335,Cottbus-Drewitz Airport,Cottbus,Germany,CBU,51.889442,14.531944
337,Berlin-Schönefeld Airport,Berlin,Germany,SXF,52.380001,13.5225
338,Dresden Airport,Dresden,Germany,DRS,51.132801,13.7672
339,Erfurt Airport,Erfurt,Germany,ERF,50.979801,10.9581
340,Frankfurt am Main Airport,Frankfurt,Germany,FRA,50.033333,8.570556
341,Münster Osnabrück Airport,Munster,Germany,FMO,52.134602,7.68483
342,Hamburg Airport,Hamburg,Germany,HAM,53.630402,9.98823
343,Berlin-Tempelhof International Airport,Berlin,Germany,THF,52.473,13.4039
344,Cologne Bonn Airport,Cologne,Germany,CGN,50.865898,7.14274
345,Düsseldorf Airport,Duesseldorf,Germany,DUS,51.289501,6.76678
346,Munich Airport,Munich,Germany,MUC,48.353802,11.7861
347,Nuremberg Airport,Nuernberg,Germany,NUE,49.498699,11.078056
348,Leipzig/Halle Airport,Leipzig,Germany,LEJ,51.423889,12.236389
349,Saarbrücken Airport,Saarbruecken,Germany,SCN,49.2146,7.10951
350,Stuttgart Airport,Stuttgart,Germany,STR,48.689899,9.22196
351,Berlin-Tegel Airport,Berlin,Germany,TXL,52.5597,13.2877
352,Hannover Airport,Hannover,Germany,HAJ,52.461102,9.68508
353,Bremen Airport,Bremen,Germany,BRE,53.047501,8.78667
354,Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF,49.959999,8.645833
355,Frankfurt-Hahn Airport,Hahn,Germany,HHN,49.9487,7.26389
356,Mannheim-City Airport,Mannheim,Germany,MHG,49.473057,8.514167
360,Eisenach-Kindel Airport,Eisenach,Germany,EIB,50.991604,10.47973
361,Siegerland Airport,Siegerland,Germany,SGE,50.707699,8.08297
362,Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW,53.535278,9.835556
363,Kiel-Holtenau Airport,Kiel,Germany,KEL,54.379444,10.145278
364,Lübeck Blankensee Airport,Luebeck,Germany,LBC,53.805401,10.7192
368,Essen Mulheim Airport,Essen,Germany,ESS,51.402302,6.93733
369,Bielefeld Airport,Bielefeld,Germany,BFE,51.964722,8.544444
370,Mönchengladbach Airport,Moenchengladbach,Germany,MGL,51.230278,6.504444
371,Paderborn Lippstadt Airport,Paderborn,Germany,PAD,51.614101,8.61632
373,Dortmund Airport,Dortmund,Germany,DTM,51.518299,7.61224
374,Augsburg Airport,Augsburg,Germany,AGB,48.425278,10.931667
378,Oberpfaffenhofen Airport,Oberpfaffenhofen,Germany,OBF,48.081402,11.2831
379,Straubing Airport,Straubing,Germany,RBM,48.900833,12.516667
382,Friedrichshafen Airport,Friedrichshafen,Germany,FDH,47.671299,9.51149
383,Schwerin Parchim Airport,Parchim,Germany,SZW,53.426998,11.7834
386,Bayreuth Airport,Bayreuth,Germany,BYU,49.985001,11.64
387,Burg Feuerstein Airport,Burg Feuerstein,Germany,URD,49.794167,11.133611
388,Hof-Plauen Airport,Hof,Germany,HOQ,50.288612,11.856389
