YWL,Williams Lake Airport,Williams Lake;YVR,YQZ,YVR,YQZ,YVR;52.183102,-122.054001
YXC,Cranbrook/Canadian Rockies International Airport,Cranbrook;YLW,YVR,YVR,YYC;49.610802,-115.781998
YXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon;DEN,YEG,YVR,YWG,YYC,YYZ,MSP,DEN,ORD,LAS,YEG,YVR,YWG,YYC,YYZ;52.170799,-106.699997
YXH,Medicine Hat Airport,Medicine Hat;YYC;50.018902,-110.721001
YXJ,Fort St John Airport,Fort Saint John;YEG,YXS,YYE,YVR,YVR,YYC;56.238098,-120.739998
YXL,Sioux Lookout Airport,Sioux Lookout;YAG,YHD,YQT,YRL,KIF,MSA,WNN,XBE,XKS,YAC,YAX,YER,YQT,YRL,YTL,ZPB,ZRJ,ZSJ;50.113899,-91.905296
YXP,Pangnirtung Airport,Pangnirtung;YFB,YVM,YFB,YVM;66.144997,-65.7136
YXS,Prince George Airport,Prince George;YKA,YLW,YXJ,YXT,YYC,YYD,YYE,YVR,YVR,YYC;53.8894,-122.679001
YXT,Northwest Regional Airport Terrace-Kitimat,Terrace;YXS,YVR,YVR,YYD,YVR;54.468498,-128.576009
YXU,London Airport,London;ORD,YOW,YYZ,ORD,YWG,YYC;43.035599,-81.1539
YXX,Abbotsford Airport,Abbotsford;YEG,YYC;49.025299,-122.361
YXY,Whitehorse / Erik Nielsen International Airport,Whitehorse;YLW,YVR,YYC,YZF,YVR;60.709599,-135.067001
YYB,North Bay Jack Garland Airport,North Bay;YYZ,YSB;46.363602,-79.422798
YYC,Calgary International Airport,Calgary;YEG,YEG,YLL,YXS,DFW,JFK,LAS,LAX,LHR,ORD,PHX,SAN,CUN,DEN,EWR,FRA,IAH,LAS,LAX,LHR,NRT,ORD,PDX,PVR,SFO,SJD,VRA,YCG,YEG,YKA,YLW,YMM,YOW,YQF,YQL,YQR,YQU,YUL,YVR,YWG,YXC,YXE,YXH,YYJ,YYZ,YZF,SEA,LHR,LHR,AMS,DFW,JFK,LAS,LAX,MSP,ORD,SLC,LHR,AMS,YEG,YYZ,FRA,LHR,NRT,AMS,FRA,GLA,LGW,MAN,YEG,YVR,DEN,IAH,ORD,PDX,SFO,DFW,PHX,CUN,DFW,JFK,LAS,LAX,MCO,ORD,PHX,PSP,PVR,SAN,SFO,SJD,YBR,YCD,YEG,YHM,YHZ,YKA,YKF,YLW,YMM,YOW,YQG,YQQ,YQR,YQU,YUL,YVR,YWG,YXE,YXJ,YXS,YXU,YXX,YYJ,YYZ;51.113899,-114.019997
YYD,Smithers Airport,Smithers;YXS,YVR,YVR,YXT;54.824699,-127.182999
YYE,Fort Nelson Airport,Fort Nelson;YDQ,YXJ,YXS;58.836399,-122.597
YYF,Penticton Airport,Penticton;YVR;49.4631,-119.601997
YYG,Charlottetown Airport,Charlottetown;YHZ,YUL,YYZ,YYZ;46.290001,-63.121101
YYH,Taloyoak Airport,Spence Bay;YCB,YHK,YHK,YZF;69.5467,-93.576698
YYJ,Victoria International Airport,Victoria;YVR,SFO,YVR,YYC,YYZ,SEA,SFO,LAS,YEG,YLW,YVR,YYC,YYZ;48.6469,-123.426003
YYQ,Churchill Airport,Churchill;YEK,YRT,YTH,YWG,YEK,YRT,YTH,YWG;58.739201,-94.065002
YYR,Goose Bay Airport,Goose Bay;YDF,YHZ,YQX,YWK,YYT,YAY,YBX,YDF,YDP,YSO,YWK,YYT,ZUM,YDP,YRG;53.319199,-60.4258
YYT,St. John's International Airport,St. John's;LHR,YDF,YHZ,YOW,YQX,YUL,YYR,YYZ,YHZ,LHR,YAY,YDF,YJT,YYR,YHZ,FSP,MCO,EWR,MCO,YHZ,YOW,YYZ;47.618599,-52.7519
YYU,Kapuskasing Airport,Kapuskasing;YQT,YTS;49.413898,-82.467499
YYY,Mont Joli Airport,Mont Joli;YBC,YUL,YQB,YVB,YZV,YBC,YWK,YZV;48.608601,-68.208099
